index,time,iter,reward,value,best_reward,best_value,node
0,64,0,-6.32163,2.09715e+06,-6.32163,2.09715e+06,X21:8-
1,133,1,-6.92369,8.38861e+06,-6.32163,2.09715e+06,X21:2-
2,187,2,-6.62266,4.1943e+06,-6.32163,2.09715e+06,X21:32-
3,251,3,-6.62266,4.1943e+06,-6.32163,2.09715e+06,X21:16-
4,312,4,-6.0206,1.04858e+06,-6.0206,1.04858e+06,X13:1-X21:8-
5,378,5,-6.0206,1.04858e+06,-6.0206,1.04858e+06,X21:4-
6,440,6,-6.92369,8.38861e+06,-6.0206,1.04858e+06,X13:2-X21:16-
7,512,7,-7.22472,1.67772e+07,-6.0206,1.04858e+06,X21:1-
8,582,8,-6.62266,4.1943e+06,-6.0206,1.04858e+06,X13:4-X21:4-
