index,time,iter,reward,value,best_reward,best_value,node
0,65,0,-6.32163,2.09715e+06,-6.32163,2.09715e+06,X21:8-
1,134,1,-6.92369,8.38861e+06,-6.32163,2.09715e+06,X21:2-
2,189,2,-6.62266,4.1943e+06,-6.32163,2.09715e+06,X21:32-
3,253,3,-6.62266,4.1943e+06,-6.32163,2.09715e+06,X21:16-
4,315,4,-6.0206,1.04858e+06,-6.0206,1.04858e+06,X13:1-X21:8-
5,382,5,-6.0206,1.04858e+06,-6.0206,1.04858e+06,X21:4-
6,444,6,-6.92369,8.38861e+06,-6.0206,1.04858e+06,X13:2-X21:16-
7,516,7,-7.22472,1.67772e+07,-6.0206,1.04858e+06,X21:1-
8,587,8,-6.62266,4.1943e+06,-6.0206,1.04858e+06,X13:4-X21:4-
