index,time,iter,reward,value,best_reward,best_value,node
0,55,0,-7.7476,5.59241e+07,-7.7476,5.59241e+07,X24:16-
1,120,1,-6.92369,8.38861e+06,-6.92369,8.38861e+06,X24:4-
2,193,2,-7.46598,2.924e+07,-6.92369,8.38861e+06,X24:2-
3,250,3,-7.84825,7.05097e+07,-6.92369,8.38861e+06,X23:8-X24:16-
4,313,4,-8.05402,1.13246e+08,-6.92369,8.38861e+06,X13:1-X24:2-
5,385,5,-7.78874,6.14815e+07,-6.92369,8.38861e+06,X23:2-X13:1-X24:2-
6,459,6,-8.06982,1.17441e+08,-6.92369,8.38861e+06,X13:2-X24:4-
7,527,7,-7.37278,2.3593e+07,-6.92369,8.38861e+06,X24:1-
8,588,8,-7.73683,5.45539e+07,-6.92369,8.38861e+06,X13:1-X24:1-
