index,time,iter,reward,value,best_reward,best_value,node
85,212,85,-5.71957,524288,-5.71957,524288,X19:8-X21:1-
86,215,86,-5.71957,524288,-5.71957,524288,X19:2-X21:32-
87,217,87,-5.71957,524288,-5.71957,524288,X19:1-X21:1-
88,220,88,-5.71957,524288,-5.71957,524288,X15:32-X19:32-X21:2-
89,222,89,-5.71957,524288,-5.71957,524288,X13:64-X15:1-X19:1-X21:2-
90,225,90,-5.71957,524288,-5.71957,524288,X19:1-X21:4-
91,227,91,-5.71957,524288,-5.71957,524288,X15:2-X19:64-X21:4-
92,230,92,-5.71957,524288,-5.71957,524288,X15:256-X19:64-X21:2-
93,232,93,-5.71957,524288,-5.71957,524288,X15:128-X19:32-X21:2-
94,235,94,-5.71957,524288,-5.71957,524288,X19:4-X21:32-
95,238,95,-5.71957,524288,-5.71957,524288,X15:32-X19:8-X21:16-
96,240,96,-5.71957,524288,-5.71957,524288,X15:4-X19:16-X21:8-
97,243,97,-5.71957,524288,-5.71957,524288,X13:1-X15:64-X19:4-X21:8-
98,246,98,-5.71957,524288,-5.71957,524288,X15:8-X19:2-X21:32-
99,249,99,-5.71957,524288,-5.71957,524288,X15:1-X19:4-X21:4-
100,251,100,-5.71957,524288,-5.71957,524288,X15:256-X19:2-X21:64-
101,254,101,-5.71957,524288,-5.71957,524288,X15:64-X19:1-X21:128-
102,256,102,-5.71957,524288,-5.71957,524288,X13:4-X15:64-X19:2-X21:128-
103,258,103,-5.71957,524288,-5.71957,524288,X15:64-X19:64-X21:1-
104,261,104,-5.71957,524288,-5.71957,524288,X15:32-X19:4-X21:64-
105,263,105,-5.71957,524288,-5.71957,524288,X15:2-X19:8-X21:32-
106,266,106,-5.71957,524288,-5.71957,524288,X15:64-X19:1-X21:32-
107,269,107,-5.71957,524288,-5.71957,524288,X15:2-X19:4-X21:32-
108,271,108,-5.71957,524288,-5.71957,524288,X13:2-X15:16-X21:256-
109,273,109,-5.71957,524288,-5.71957,524288,X15:32-X19:2-X21:2-
110,276,110,-5.71957,524288,-5.71957,524288,X19:4-X21:16-
111,279,111,-5.71957,524288,-5.71957,524288,X19:32-X21:4-
112,281,112,-5.71957,524288,-5.71957,524288,X15:16-X19:16-X21:4-
113,284,113,-5.71957,524288,-5.71957,524288,X15:8-X19:8-X21:32-
114,287,114,-5.71957,524288,-5.71957,524288,X15:1-X19:8-X21:8-
115,289,115,-5.71957,524288,-5.71957,524288,X15:8-X19:8-X21:2-
116,292,116,-5.71957,524288,-5.71957,524288,X15:1-X19:16-X21:1-
117,294,117,-5.71957,524288,-5.71957,524288,X13:2-X15:2-X19:1-X21:128-
118,297,118,-5.71957,524288,-5.71957,524288,X15:8-X19:4-X21:16-
119,300,119,-5.71957,524288,-5.71957,524288,X15:16-X19:8-X21:32-
120,302,120,-5.71957,524288,-5.71957,524288,X15:4-X19:2-X21:8-
121,305,121,-5.71957,524288,-5.71957,524288,X15:4-X19:1-X21:2-
122,307,122,-5.71957,524288,-5.71957,524288,X15:16-X19:2-X21:32-
123,310,123,-5.71957,524288,-5.71957,524288,X15:4-X19:1-X21:8-
124,312,124,-5.71957,524288,-5.71957,524288,X15:4-X19:4-X21:64-
125,315,125,-5.71957,524288,-5.71957,524288,X19:4-X21:1-
126,317,126,-5.71957,524288,-5.71957,524288,X15:4-X19:1-X21:64-
127,320,127,-5.71957,524288,-5.71957,524288,X19:4-X21:2-
128,323,128,-5.71957,524288,-5.71957,524288,X13:2-X15:4-X19:1-X21:64-
129,325,129,-5.71957,524288,-5.71957,524288,X15:16-X19:1-X21:128-
130,328,130,-5.71957,524288,-5.71957,524288,X15:4-X19:2-X21:64-
131,330,131,-5.71957,524288,-5.71957,524288,X15:256-X19:1-X21:128-
132,333,132,-5.71957,524288,-5.71957,524288,X15:8-X19:64-X21:2-
133,335,133,-5.71957,524288,-5.71957,524288,X13:4-X15:64-X19:1-X21:128-
134,338,134,-5.71957,524288,-5.71957,524288,X15:64-X19:8-X21:4-
135,341,135,-5.71957,524288,-5.71957,524288,X15:128-X19:4-X21:32-
136,343,136,-5.71957,524288,-5.71957,524288,X19:128-X21:2-
137,345,137,-5.71957,524288,-5.71957,524288,X19:32-X21:8-
138,348,138,-5.71957,524288,-5.71957,524288,X15:2-X19:8-X21:8-
139,350,139,-5.71957,524288,-5.71957,524288,X13:1-X15:2-X19:2-X21:128-
140,353,140,-5.71957,524288,-5.71957,524288,X13:1-X15:128-X21:256-
141,355,141,-5.71957,524288,-5.71957,524288,X15:2-X19:16-X21:16-
142,357,142,-5.71957,524288,-5.71957,524288,X15:256-X19:2-X21:128-
143,360,143,-5.71957,524288,-5.71957,524288,X15:8-X19:4-X21:64-
144,362,144,-5.71957,524288,-5.71957,524288,X15:4-X19:8-X21:8-
145,365,145,-5.71957,524288,-5.71957,524288,X15:1-X19:2-X21:128-
146,367,146,-5.71957,524288,-5.71957,524288,X15:32-X19:4-X21:32-
147,370,147,-5.71957,524288,-5.71957,524288,X13:1-X15:1-X19:1-X21:16-
148,372,148,-5.71957,524288,-5.71957,524288,X15:64-X21:256-
149,374,149,-5.71957,524288,-5.71957,524288,X15:2-X19:2-X21:16-
150,377,150,-5.71957,524288,-5.71957,524288,X15:256-X19:2-X21:16-
151,379,151,-5.71957,524288,-5.71957,524288,X19:32-X21:1-
152,382,152,-5.71957,524288,-5.71957,524288,X13:128-X15:2-X19:2-X21:128-
153,384,153,-5.71957,524288,-5.71957,524288,X15:128-X19:1-X21:16-
154,387,154,-5.71957,524288,-5.71957,524288,X15:32-X19:32-X21:1-
155,389,155,-5.71957,524288,-5.71957,524288,X15:128-X19:2-X21:32-
156,391,156,-5.71957,524288,-5.71957,524288,X15:128-X19:2-X21:8-
157,394,157,-5.71957,524288,-5.71957,524288,X15:8-X21:256-
158,396,158,-5.71957,524288,-5.71957,524288,X13:8-X15:4-X21:256-
159,399,159,-5.71957,524288,-5.71957,524288,X15:2-X19:32-X21:4-
160,401,160,-5.71957,524288,-5.71957,524288,X15:4-X19:64-X21:2-
161,404,161,-5.71957,524288,-5.71957,524288,X13:128-X15:1-X19:1-X21:16-
162,406,162,-5.71957,524288,-5.71957,524288,X15:16-X19:128-X21:1-
163,409,163,-5.71957,524288,-5.71957,524288,X15:2-X19:1-X21:2-
164,411,164,-5.71957,524288,-5.71957,524288,X13:4-X15:32-X19:4-X21:32-
165,414,165,-5.71957,524288,-5.71957,524288,X15:16-X19:64-X21:1-
166,416,166,-5.71957,524288,-5.71957,524288,X13:2-X15:128-X19:1-X21:128-
167,419,167,-5.71957,524288,-5.71957,524288,X15:2-X19:32-X21:1-
168,421,168,-5.71957,524288,-5.71957,524288,X15:1-X19:16-X21:8-
169,424,169,-5.71957,524288,-5.71957,524288,X15:64-X19:16-X21:4-
