index,time,iter,reward,value,best_reward,best_value,node
0,55,0,-7.76879,5.87203e+07,-7.76879,5.87203e+07,X24:16-
1,123,1,-6.92369,8.38861e+06,-6.92369,8.38861e+06,X24:4-
2,197,2,-7.44917,2.81298e+07,-6.92369,8.38861e+06,X24:2-
3,254,3,-7.91339,8.192e+07,-6.92369,8.38861e+06,X23:8-X24:16-
4,318,4,-6.92369,8.38861e+06,-6.92369,8.38861e+06,X13:1-X24:2-
5,393,5,-7.81378,6.51306e+07,-6.92369,8.38861e+06,X23:2-X13:1-X24:2-
6,467,6,-8.03281,1.07849e+08,-6.92369,8.38861e+06,X13:2-X24:4-
7,537,7,-8.42884,2.68435e+08,-6.92369,8.38861e+06,X24:1-
8,599,8,-7.32163,2.09715e+07,-6.92369,8.38861e+06,X13:1-X24:1-
