index,time,iter,reward,value,best_reward,best_value,node
0,55,0,-7.65909,4.56131e+07,-7.65909,4.56131e+07,X24:16-
1,122,1,-7.44385,2.77873e+07,-7.44385,2.77873e+07,X24:4-
2,195,2,-8.04998,1.12198e+08,-7.44385,2.77873e+07,X24:2-
3,252,3,-7.32163,2.09715e+07,-7.32163,2.09715e+07,X23:8-X24:16-
4,317,4,-8.12781,1.34218e+08,-7.32163,2.09715e+07,X13:1-X24:2-
5,391,5,-7.74754,5.59159e+07,-7.32163,2.09715e+07,X23:2-X13:1-X24:2-
6,466,6,-7.52575,3.35544e+07,-7.32163,2.09715e+07,X13:2-X24:4-
7,537,7,-7.52575,3.35544e+07,-7.32163,2.09715e+07,X24:1-
8,599,8,-6.9449,8.80848e+06,-6.9449,8.80848e+06,X13:1-X24:1-
