index,time,iter,reward,value,best_reward,best_value,node
68,222,68,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X21:2-X24:32-
69,226,69,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:16-X24:2-
70,229,70,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:1-X24:64-
71,232,71,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:2-X24:4-
72,235,72,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:16-X24:4-
73,238,73,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:1-X25:100-X21:16-X24:4-
74,241,74,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:16-X24:4-
75,245,75,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:1-X21:2-X24:32-
76,249,76,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:64-X24:1-
77,252,77,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:8-X24:2-
78,255,78,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:8-X24:8-
79,259,79,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:1-X21:8-X24:2-
80,262,80,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:2-X24:64-
81,266,81,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:8-X24:4-
82,269,82,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:1-X24:64-
83,272,83,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:1-X21:2-X24:64-
84,275,84,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:10-X24:128-
85,278,85,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:16-X24:8-
86,282,86,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:2-X24:64-
87,285,87,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:32-X25:1-X24:128-
88,288,88,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:25-X21:8-X24:16-
89,291,89,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:2-X24:64-
90,294,90,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:4-X24:4-
91,298,91,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:4-X24:8-
92,301,92,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:20-X25:5-X21:2-X24:8-
93,304,93,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:4-X24:8-
94,307,94,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X24:128-
95,311,95,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:32-X24:2-
96,314,96,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:100-X21:2-X24:2-
97,317,97,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:5-X21:2-X24:4-
98,320,98,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:2-X24:64-
99,324,99,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X23:64-X22:20-X25:5-X21:2-X24:8-
100,327,100,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:2-X24:128-
101,330,101,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:1-X25:50-X21:16-X24:4-
102,333,102,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:50-X24:128-
103,336,103,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:1-X21:4-X24:1-
104,340,104,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:32-X24:1-
105,343,105,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:25-X25:4-X24:128-
106,346,106,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:4-X21:2-X24:32-
107,349,107,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:2-X25:50-X21:4-X24:16-
108,352,108,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:10-X21:1-X24:64-
109,356,109,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X22:10-X25:5-X24:128-
110,359,110,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X21:4-X24:32-
111,362,111,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X21:1-X24:8-
112,365,112,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:20-X21:8-X24:4-
113,368,113,-7.83767,6.88128e+07,-7.83767,6.88128e+07,X25:25-X21:1-X24:8-
